Song,Artist,State,Lat,Long,Song_Release_Year,Song_Release_Month
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","['Dreamville', 'Bas', 'JID', 'Guapdad 4000', 'Reese LAFLARE', 'Jace', 'Mez', 'Smokepurpp', 'Buddy', 'Ski Mask The Slump God']",Costa Rica,9.0,84.0,2019,December
"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)","['Dreamville', 'Bas', 'Cozz', 'Baby Tate', 'Guapdad 4000', 'Buddy']",North Carolina,35.0,-80.0,2020,January
PICK IT UP (feat. A$AP Rocky),"['Famous Dex', 'A$AP Rocky']",Illinois,42.0,88.0,2017,September
Barry Bonds,"['Kanye West', 'Lil Wayne']",Illinois,41.0,-87.0,2007,'June'
Hello Brooklyn 2.0,"['JAY-Z', 'Lil Wayne']",New York,40.0,-73.0,'2007','October'
Ladyfingers,['Herb Alpert & The Tijuana Brass'],California,34.0,118.0,1964,May
Ms. Fat Booty,['Mos Def'],New York,40.0,-74.0,1999,August
Lock And Load,"['Lil Wayne', 'Kurupt']",Louisiana,30.0,-91.0,2010,December
Mo Fire,['Lil Wayne'],Louisiana,30.0,-91.0,2006,January
Oh No,['Lil Wayne'],Louisiana,29.0,91.0,2008,July
First Person Shooter (feat. J. Cole),"['Drake', 'J. Cole']",Canada,43.0,-79.0,2009,May
CLOUT COBAIN | CLOUT CO13A1N,['Denzel Curry'],Florida,26.0,-81.0,2018,July
RICKY,['Denzel Curry'],Florida,28.0,81.0,2016,July
I Remember Everything (feat. Kacey Musgraves),"['Zach Bryan', 'Kacey Musgraves']",Texas,30.0,-100.0,'2020','October'
Heading South,['Zach Bryan'],Oklahoma,36.0,-97.0,2019,August
I Was Wrong,['Chris Stapleton'],Tennessee,36.0,-86.0,2015,May
Way of the Triune God - Hallelujah Version,['Tyler Childers'],Kentucky,37.0,-85.0,2020,May
Shake the Frost (Live),['Tyler Childers'],Kentucky,37.0,-85.0,2019,August
Stone,['Whiskey Myers'],Texas,30.0,-100.0,2019,September
Bobby Boucher,"['EARTHGANG', 'Spillage Village', 'Benji.']",Georgia,33.0,-83.0,2017,September
Droppin' Seeds (feat. Lil' Wayne),"['Tyler, The Creator', 'Lil Wayne']",California,34.0,118.0,2017,April
Drop The World,"['Lil Wayne', 'Eminem']",Louisiana,30.0,-91.0,2009,December
No Love,"['Eminem', 'Lil Wayne']",Michigan,42.0,-83.0,2010,August
Desvielados,"['Remik Gonzalez', 'BeeJay']",Mexico,19.4326,-99.1332,2020,October
p r i d e . i s . t h e . d e v i l (with Lil Baby),"['J. Cole', 'Lil Baby']",North Carolina,35.0,-80.0,'2021','May'
Can't Knock The Hustle,"['JAY-Z', 'Mary J. Blige']",New York,40.0,74.0,1996,October
Sam,['Sturgill Simpson'],Kentucky,37.0,85.0,2014,July
Heavenly Father,['Isaiah Rashad'],Tennessee,36.0,-86.0,2014,September
Wichita Lineman,['Glen Campbell'],Arkansas,35.0,-92.0,1968,November
drive ME crazy!,['Lil Yachty'],Georgia,33.0,-83.0,2016,April
MUSTARD (with 6LACK),"['Jordan Ward', '6LACK']",California,36.0,-119.0,2020,February
Yes It's You,['Sweet Charles'],Louisiana,31.0,-92.0,1974,October
The Miller Family Reunion,['Mac Miller'],Pennsylvania,40.0,-77.0,'2010','August'
Lockdown,['Anderson .Paak'],California,34.0,-118.0,2020,April
CUT EM IN (feat. Rick Ross),"['Anderson .Paak', 'Rick Ross']",California,34.0,-118.0,2020,August
Heyla,['The Jazz Imposters'],Nigeria,10.0,8.0,2021,September
Family Matters (feat. Arin Ray),"['Cordae', 'Arin Ray']",Maryland,39.0,-77.0,2019,August
More Life (feat. Q Tip),"['Cordae', 'Q-Tip']",Maryland,39.0,-77.0,2021,July
I Suppose,"['Knucks', 'Larry June', 'Kenny Beats']",United Kingdom,51.5074,-0.1278,2019,September
Van Gogh (feat. Lil Yachty),"['JID', 'Lil Yachty']",Country: Georgia,33.2479,84.2816,2019,January
Half Doin Dope (with BabyTron feat. Lil Yachty),"['JID', 'BabyTron', 'Lil Yachty']",Georgia,33.0,83.0,2021,July
Kat Food,['Lil Wayne'],Louisiana,30.0,-91.0,2009,April
Cheers (feat. Q-Tip),"['Anderson .Paak', 'Q-Tip']",California,34.0,-118.0,'2019','October'
Blame It on the Boogie,['The Jacksons'],Indiana,39.0,-86.0,1978,September
Stainless,"['The Game', 'Anderson .Paak']",California,33.0,-118.0,2012,August
itkanbe[sonice],"['Knxwledge', 'NxWorries']",California,34.0,-118.0,2011,March
Flowers,"['Little Simz', 'Michael Kiwanuka']",United Kingdom,52.0,1.0,2019,September
Gunwalk,"['Lil Wayne', 'Gudda Gudda']",Louisiana,31.0,-91.0,2013,March
Ballin' (with Roddy Ricch),"['Mustard', 'Roddy Ricch']",California,36.0,-119.0,2020,January
RNP (feat. Anderson .Paak),"['Cordae', 'Anderson .Paak']",Maryland,39.0458,-76.6413,2020,August
Point and Kill,"['Little Simz', 'Obongjayar']",United Kingdom,51.5074,-0.1278,2021,October
Two Worlds Apart,['Little Simz'],United Kingdom,51.5,-0.1,2021,September
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",Spain,40.0,4.0,2020,0
Introvert,['Little Simz'],UK,51.509865,-0.118092,2019,September
Thanks (feat. J. Cole),"['Burna Boy', 'J. Cole']",Nigeria,9.0,8.0,2019,July
Benzi Box,"['DANGERDOOM', 'MF DOOM', 'Danger Mouse', 'CeeLo Green']",England,52.0,1.0,2006,February
Suga Suga,"['Baby Bash', 'Frankie J']",Texas,29.0,99.0,2003,August
I'll Be Around (feat. Timbaland) - Club Mix,"['CeeLo Green', 'Timbaland']",Georgia,33.0,-84.0,2011,December
Isekai,['RJ Pasin'],Brazil,-22.0,-43.0,2021,October
Like You (feat. Ciara),"['Bow Wow', 'Ciara']",Ohio,41.0,-82.0,2005,July
Notion,['The Rare Occasions'],California,37.7749,-122.4194,2021,May
SWEET,['BROCKHAMPTON'],Texas,30.0,-97.0,2018,August
Love,['Keyshia Cole'],California,39.0,120.0,2006,March
Potato Salad,"['Tyler, The Creator', 'A$AP Rocky']",California,-38.8977,-77.0365,2018,July
Country Grammar (Hot Shit),['Nelly'],Missouri,38.0,-92.0,2000,April
TELEKINESIS (feat. SZA & Future),"['Travis Scott', 'SZA', 'Future']",Texas,30.0,-100.0,2016,September
Up Down (Step & Walk),['Ez Mil'],Philippines,13.0,122.0,2021,March
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",New York,40.0,-74.0,1997,August
"Hands Up! - Kota Shinzato - From anime ""One Piece""",['REI'],Japan,34.0,135.0,2012,December
We Go! (One Piece),['Nordex'],Japan,35.0,138.0,2020,January
Let's Do It Again,['J Boog'],California,33.0,-118.0,2010,November
No Air (feat. Chris Brown),"['Jordin Sparks', 'Chris Brown']",Arizona,33.0,-112.0,2008,March
SCIENTISTS & ENGINEERS (feat. Future & Eryn Allen Kane),"['Killer Mike', 'André 3000', 'Eryn Allen Kane', 'Future']",Georgia,33.0,83.0,2021,June
Oh Boy,"[""Cam'ron"", 'Juelz Santana']",New York,40.0,-74.0,2002,August
No Merci,['Little Simz'],England,51.509865,-0.118092,'2019','September'
Realest (with Eminem),"['Ez Mil', 'Eminem']",Philippines,13.0,122.0,'2021','April'
"Nocturnes, Op. 32: No. 2 in A-Flat","['Frédéric Chopin', 'Arthur Rubinstein']",Poland,52.0,20.0,1837,June
Broken,['Little Simz'],United Kingdom,51.5074,-0.1278,2021,May
Heart on Fire,['Little Simz'],United Kingdom,51.0,0.0,2021,September
Silhouette,['Little Simz'],England,51.0,-0.13,2021,September
Gorilla,['Little Simz'],country,51.5074,0.1278,2021,September
Lovely Day,['Bill Withers'],West Virginia,39.0,-80.5,1977,December
Don't You Worry 'Bout A Thing,['Stevie Wonder'],Michigan,42.0,-83.0,1974,March
Pass Me By,['Sharon Jones & The Dap-Kings'],New York,42.0,-74.0,2014,July
Nobody's Baby,['Sharon Jones & The Dap-Kings'],New York,42.0,-75.0,'2007','October'
Love Me,"['Lil Wayne', 'Drake', 'Future']",Louisiana,30.0,-91.0,'2011','January'
Higher,"['DJ Hotday', 'J. Cole']",New York,42.0,-74.0,2021,October
Superman,"['Eminem', 'Dina Rae']",Michigan,42.0,84.0,2003,March
Home Again,['Michael Kiwanuka'],England,51.5074,-0.1278,2012,March
Dearly Beloved (feat. Jamie Foxx),"['Wale', 'Jamie Foxx']",Washington,47.0,-120.0,2013,June
The Star Room (OG Version) - Bonus Track,"['Mac Miller', 'Earl Sweatshirt']",Pennsylvania,40.8966,-77.8389,2013,July
West Savannah (feat. SZA),"['Isaiah Rashad', 'SZA']",Tennessee,36.0,-86.0,2014,August
Barragán Lighting,"['Larry June', 'The Alchemist', 'Joey Bada$$', 'Curren$y']",California,37.0,-120.0,2021,September
The Need to Know (feat. SZA),"['Wale', 'SZA']",Maryland,39.0458,-76.6413,2013,August
Promise,['Ben Howard'],United Kingdom,51.5074,-0.1278,2011,January
"To Summer, From Cole - Audio Hug","['Summer Walker', 'J. Cole']",Georgia,33.0,83.0,'2022','April'
Bout It Bout It (feat. Kirko Bangz),['Freddie Gibbs'],Indiana,40.0,-86.0,'2014','August'
LAW OF AVERAGES,['Vince Staples'],California,38.0,-121.0,2022,June
Someone New,['Hozier'],Ireland,53.0,-8.0,2014,March
Baby Pluto,['Lil Uzi Vert'],Pennsylvania,39.0,-77.0,2020,July
Ps & Qs,['Lil Uzi Vert'],'Pennsylvania',40.0,-77.0,2016,April
7AM,['Lil Uzi Vert'],Pennsylvania,40.8966,-77.8389,'2020','March'
20 Min,['Lil Uzi Vert'],Pennsylvania,39.0,-77.0,2017,October
XO Tour Llif3,['Lil Uzi Vert'],Pennsylvania,40.8966,-77.8389,2017,April
Norf Norf,['Vince Staples'],California,38.0,-121.0,2015,June
Flooded The Face,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2017,July
Multiple Flows (with Lil Uzi Vert),"['Lil Wayne', 'Lil Uzi Vert']",Louisiana,30.0,-91.0,2020,April
Under Pressure,"['Queen', 'David Bowie']",United Kingdom,51.5074,-0.1278,1981,October
Something in the Orange,['Zach Bryan'],Texas,30.0,-97.0,2019,September
Endless Fashion (feat. Nicki Minaj),"['Lil Uzi Vert', 'Nicki Minaj']",Pennsylvania,40.8966,-77.838,2020,September
x2,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2017,July
Doomsday (with Juice WRLD & Cordae),"['Lyrical Lemonade', 'Juice WRLD', 'Cordae']",Illinois,41.0,-87.0,'2021','July'
"So Slow (feat. Anderson .Paak, King Chip)","['Blended Babies', 'King Chip', 'Anderson .Paak']",Illinois,41.0,-87.0,'2013','November'
Grab Her Hand,"['Michael Christmas', 'Mac Miller']",Massachusetts,42.0,-71.0,2014,August
Can't Call It,"['Spillage Village', 'J. Cole', 'Bas', 'EARTHGANG', 'JID']",Georgia,33.0,84.0,2019,August
Monday,"['EARTHGANG', 'Mac Miller']",Georgia,33.0,-84.0,2019,September
"Like Father, Like Son","['The Game', 'Busta Rhymes']",California,33.8366,-118.3407,2005,August
Runnin',"['The Game', 'Tony Yayo']",California,34.0,-118.0,2006,August
Funeral,['Lukas Graham'],Denmark,56.0,10.0,2020,September
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),"['Metro Boomin', 'A$AP Rocky', 'Takeoff']",Georgia,33.0,-84.0,2021,September
I'm Not Human,"['XXXTENTACION', 'Lil Uzi Vert']",Florida,27.0,81.0,2014,August
Lady May,['Tyler Childers'],Kentucky,37.0,85.0,2017,May
Follow You To Virgie (OurVinyl Sessions),"['Tyler Childers', 'OurVinyl']",Kentucky,37.0,83.0,2016,July
Give Your Heart a Break,['Demi Lovato'],Texas,30.0,-97.0,2012,April
The Sweet Escape,"['Gwen Stefani', 'Akon']",California,-30.5,-36.266,2006,December
Unwritten,['Natasha Bedingfield'],United Kingdom,51.0,0.0,2004,August
Shake It Out,['Florence + The Machine'],United Kingdom,51.5074,-0.1278,2011,October
Dog Days Are Over,['Florence + The Machine'],United Kingdom,51.5074,-0.1278,2008,December
Jodeci Freestyle (feat. J. Cole),"['Drake', 'J. Cole']",North Carolina,36.0,-79.0,2018,February
DOGTOOTH,"['Tyler, The Creator']",California,34.0,-118.0,2019,May
Kingdom Hearts Key (ft. redveil),"['JPEGMAFIA', 'Danny Brown', 'redveil']",Maryland,39.0,77.0,2021,April
Cudi Montage,['KIDS SEE GHOSTS'],Ohio,41.0,-82.0,2018,June
Wouldn't Get Far,['The Game'],California,33.0,-118.0,2007,September
Fantasy,['Mariah Carey'],New York,40.0,74.0,1995,September
Bloom - Bonus Track,['The Paper Kites'],Australia,-27.46977,153.025131,2011,September
SMALL TALK,['Russ'],New Jersey,40.0,74.0,2018,July
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",['Amy Winehouse'],London,0,0,N/A,N/A
Freestyle,['Lil Baby'],Georgia,33.0,84.0,2020,May
My Hero,['Foo Fighters'],Washington,47.0,120.0,1998,July
Kant Nobody (feat. DMX),"['Lil Wayne', 'DMX']",Louisiana,30.0,91.0,2018,October
Still Tippin' (feat. Slim Thug and Paul Wall),"['Mike Jones', 'Paul Wall', 'Slim Thug']",Texas,29.0,99.0,2004,December
Nice & Slow - Radio Version,['USHER'],Georgia,33.0,-83.0,1998,August
Low Down,['Lil Baby'],Georgia,33.749,-84.388,2019,July
Ride,['Twenty One Pilots'],Ohio,39.0,-82.0,2015,May
Change,['J. Cole'],North Carolina,35.0,-79.0,2013,January
G.O.M.D,['J. Cole'],North Carolina,35.0,-80.0,2015,March
Congratulations (feat. Bilal),"['Mac Miller', 'Bilal']",Pennsylvania,41.2033,-77.1945,2016,August
gristle,['Blvck Svm'],Memphis,0,0,N/A,N/A
"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)","['Jon Batiste', 'JID', 'NewJeans', 'Camilo']",Louisiana,30.0,-91.0,2021,March
Murda Dat He Wrote,['Saint300'],Jamaica,18.0,-77.0,2021,June
The Mates of Soul (Remastered),['Taylor John Williams'],Oregon,44.0,-122.0,2021,May
Gnat,['Eminem'],Michigan,43.0,84.0,2020,December
Just In Time (feat. Lil Wayne & Kenny Mason),"['JID', 'Kenny Mason', 'Lil Wayne']",Georgia,32.0,83.0,2021,April
"Piano Concerto No. 1 in E minor, Op. 11: 2. Romance (Larghetto)","['Frédéric Chopin', 'Krystian Zimerman', 'Polish Festival Orchestra']",Poland,52.0,19.0,1830,March
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"['Beyoncé', 'Kendrick Lamar']",Texas,29.0,98.0,2016,April
I Have Nothing,['Whitney Houston'],New Jersey,40.0,74.0,1992,November
Love On The Brain,['Rihanna'],Barbados,13.0,59.0,2016,November
Int'l Players Anthem (I Choose You) (feat. Outkast),"['UGK', 'Outkast']",Texas,30.0,97.0,2007,June
Lucifer,['JAY-Z'],New York,40.0,-74.0,2003,December
Crooked Smile (feat. TLC),"['J. Cole', 'TLC']",North Carolina,36.0,-79.0,2013,June
"Piano Concerto No. 1 In E Minor, Op. 11: 1. Allegro maestoso","['Frédéric Chopin', 'Krystian Zimerman', 'Polish Festival Orchestra']",Poland,52.0,20.0,1830,March
Trinity,['Snarky Puppy'],Texas,30.0,-97.0,2016,May
Skrawberries (feat. BJ The Chicago Kid),"['JID', 'BJ The Chicago Kid']",Georgia,33.0,-83.0,2018,November
Drop Stop Roll,['Rainbow Kitten Surprise'],North Carolina,35.0,80.0,2015,December
NEW YORK (CONCEPT DE PARIS) (feat. Gil Scott-Heron),"['JAY-Z', 'Gil Scott-Heron']",New York,40.0,-74.0,2001,October
Never Felt So Alone,['Labrinth'],United Kingdom,53.0,-2.0,2019,September
Clouded,['Brent Faiyaz'],Maryland,39.0458,-76.6413,2016,December
Baguetti (with JID & Kenny Beats),"['Smino', 'JID', 'Kenny Beats']",Illinois,41.0,-87.0,2021,May
"Corte Madera, CA",['Larry June'],California,37.9256,-122.5275,-N/A-,-N/A-
D'Evils,['SiR'],California,34.0,-118.0,2019,June
an Interlude Called “Circus” (feat. Eryn Allen Kane),"['Saba', 'Eryn Allen Kane']",Illinois,41.8781,-87.6298,2016,July
LO TENGO,"['Trueno', 'JID']",Argentina,-34.0,-64.0,2020,November
Solid (feat. Drake),"['Young Stoner Life', 'Young Thug', 'Gunna', 'Drake']",Georgia,33.0,83.0,2022,March
Mount Everest,['Labrinth'],United Kingdom,139.0,12.0,2011,November
CrasH,['ScHoolboy Q'],California,33.882,-118.3108,2019,April
Lion King On Ice,['J. Cole'],North Carolina,-35.0,-80.0,2020,July
The Best Part of Life (Imanbek Remix),"['SAINt JHN', 'Imanbek']",Brooklyn,40.0,-73.0,2022,March
Night Job,"['Bas', 'J. Cole']",New York,40.7128,-74.006,2015,December
Monica Lewinsky (feat. A Boogie Wit da Hoodie),"['SAINt JHN', 'A Boogie Wit da Hoodie']",New York,40.7128,74.006,2020,"""October"""
This Feeling,['Alabama Shakes'],Alabama,32.0,86.0,2012,September
Cupid - Twin Ver.,['FIFTY FIFTY'],Georgia,33.0,83.0,2022,January
Skypiea Rap,['Lost Boy'],Jamaica,17.0,77.0,2021,December
Darling,['Esbe'],South Korea,37.0,127.0,2015,April
Grandma's Hands,['Bill Withers'],West Virginia,38.0,-80.0,1971,December
Jealous Guy - Live,['Donny Hathaway'],Maryland,39.0,-76.0,1972,September
Don't Let Me Be Misunderstood,['The Animals'],United Kingdom,51.0,-1.0,1964,December
One Step Ahead,['Cécile McLorin Salvant'],France,47.0,2.0,2018,August
Baltimore,['Nina Simone'],Maryland,39.0458,-76.6413,1978,July
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)","['Eminem', 'Royce Da 5\'9""', 'White Gold']",Michigan,42.0,-83.0,2020,January
Relaxation,"['Fashawn', 'J. Cole', 'Omen']",California,36.0,-119.0,2009,December
Baby Blue (feat. Chance the Rapper),"['Action Bronson', 'Chance the Rapper']",New York,40.0,74.0,'2015','March'
Over,['Drake'],Ontario,43.0,79.0,2010,June
"Palisades, CA","['Larry June', 'The Alchemist', 'Big Sean']",California,36.7783,-119.4179,N/A,Not found.
Humours of Whiskey,['The Rising Pints'],Ireland,53.4129,-8.2439,2013,November
Use Me,['Bill Withers'],West Virginia,38.0,-80.0,1972,July
Fire Squad,['J. Cole'],North Carolina,35.0,-80.0,2014,December
Maybe,['Janis Joplin'],Texas,30.0,-100.0,1969,March
Something's Got A Hold On Me,['Etta James'],California,38.0,-120.0,1962,September
Better Man,['Leon Bridges'],Texas,30.0,-100.0,2015,October
Beat It,['Michael Jackson'],California,-33.0,118.0,1983,March
Album of the Year - Freestyle,['J. Cole'],North Carolina,35.0,-80.0,2014,August
Yesterday,"['Atmosphere', 'Slug', 'Ant']",Minnesota,45.0,-93.0,2008,September
"One Mic, One Gun","['Nas', '21 Savage']",New York,40.7128,-74.006,2002,April
Crying Shame,['The Teskey Brothers'],Australia,-37.0,144.0,2019,November
Better Than,['Lake Street Dive'],Massachusetts,42.0,71.0,2022,February
Tired of Being Alone,['Al Green'],Tennessee,35.0,86.0,1971,April
Pain in My Heart,['Otis Redding'],Georgia,33.0,83.0,1964,January
No Worries,"['Lil Wayne', 'Detail']",Louisiana,32.0,-91.0,2012,August
I'd Rather Go Blind,['Etta James'],California,38.0,-120.0,1968,September
Ain't No Mountain High Enough,"['Marvin Gaye', 'Tammi Terrell']",California,33.0,-118.0,1967,July
Viva La Vida,['Coldplay'],United Kingdom,51.5074,-0.1278,2008,June
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"['T-Pain', 'Yung Joc']",Florida,27.0,81.0,2007,May
Fuck You,['CeeLo Green'],Georgia,33.0,83.0,2010,August
Pour It Up,['Rihanna'],Barbados,13.0,59.0,2013,January
We Belong Together,['Mariah Carey'],New York,40.0,-74.0,2005,April
Howl's Moving Castle (violin and piano),['Edward Chang Violin'],South Korea,35.0,127.0,2021,January
435am,"['Loosevinci', 'Ramzoid']",California,33.7701,-118.1937,2021,May
Goodie Bag,['Still Woozy'],California,37.0,-120.0,2017,May
Bright Lights Bigger City,['CeeLo Green'],Georgia,33.0,-83.0,2011,March
Gang Signs (feat. ScHoolboy Q),"['Freddie Gibbs', 'ScHoolboy Q']",Illinois,41.0,-87.0,2020,May
Travellin' Man (Remastered),"['dj honda', 'Mos Def']",Japan,36.0,138.0,1995,February
SUNDOWN TOWN,['Vince Staples'],California,33.0,-118.0,2022,June
Walk On By,"['Thundercat', 'Kendrick Lamar']",California,37.0,-120.0,2011,October
Snooze,['SZA'],New Jersey,40.0,-74.0,2012,April
Survivors Guilt,['Joey Bada$$'],New York,40.0,-73.0,2012,July
Watch This - ARIZONATEARS Pluggnb Remix,"['Lil Uzi Vert', 'sped up nightcore', 'ARIZONATEARS']",Arizona,33.0,-112.0,2021,August
Weekends In The Perry's (feat. Boldy James),"['Benny The Butcher', 'Boldy James']",New York,42.0,-75.0,2021,September
Only If,['Steve Lacy'],California,33.836,-118.3405,2017,April
Grove St. Party (feat. Kebo Gotti),"['Waka Flocka Flame', 'Kebo Gotti']",Georgia,33.0,-83.0,2010,December
Kiss Kiss (feat. T-Pain),"['Chris Brown', 'T-Pain']",Virginia,37.4316,-78.6569,2007,September
No Hands (feat. Roscoe Dash & Wale),"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']",Georgia,33.0,-83.0,2010,October
Young Folks,['Peter Bjorn and John'],Sweden,59.0,18.0,2006,April
Don't Cry,['J Dilla'],Michigan,42.0,-83.0,2006,February
Transportin',['Kodak Black'],Florida,27.0,81.0,2017,June
The Waitress,"['Atmosphere', 'Slug', 'Ant']",Minnesota,45.0,93.0,2008,August
Shootouts,['Nas'],New York,40.0,-74.0,2001,December
Heaven’s EP (with J. Cole),"['Dreamville', 'J. Cole']",North Carolina,35.0,-80.0,2019,January
What They Want,['Russ'],New Jersey,40.0,-74.0,2017,May
JACKIE BROWN,['Brent Faiyaz'],Maryland,-76.641271,39.045753,2016,July
Whiskey And You,['Chris Stapleton'],Kentucky,38.0,84.0,2015,May
Joy Of My Life,['Chris Stapleton'],Kentucky,37.0,85.0,2020,June
Eleven:11,['Pell'],Louisiana,30.9843,-91.9623,2014,April
Broken Halos,['Chris Stapleton'],state,36.0,86.0,2017,April
Tie My Hands,"['Lil Wayne', 'Robin Thicke']",Louisiana,29.0,91.0,2008,February
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"['Chris Brown', 'Lil Wayne', 'Busta Rhymes']",California,33.0,-118.0,2011,March
Fire Away,['Chris Stapleton'],Kentucky,37.8223,-85.7682,2015,August
Let U Go,['lucidbeatz'],Australia,-27.0,133.0,2021,July
Portland,"['Drake', 'Quavo', 'Travis Scott']",Canada,43.0,79.0,2013,September
Famous (feat. Reginae Carter),"['Lil Wayne', 'Reginae Carter']",Louisiana,0,0,N/A,N/A
Go DJ,['Lil Wayne'],Louisiana,31.0,-91.0,2004,January
through the late night,['Travis Scott'],Texas,31.0,-97.0,2016,September
You Was Right,['Lil Uzi Vert'],Pennsylvania,39.0,77.0,2016,November
Myron,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2020,July
Michael Jordan,"['Kendrick Lamar', 'ScHoolboy Q']",Illinois,40.0,-89.0,'2015','January'
Definition,['Black Star'],New York,40.0,74.0,1998,September
Blessings,['Cousin Stizz'],Massachusetts,42.0,71.0,2015,August
My Closet Is a Graveyard,['$uicideboy$'],Louisiana,30.0,91.0,2014,June
Lady Marmalade,['LaBelle'],Pennsylvania,40.0,-77.0,1974,August
Receipt,['Lil Wayne'],Louisiana,30.0,-91.0,2020,'February'
Shadow of the Day,['Linkin Park'],California,0,0,N/A,N/A
Kill Bill,['SZA'],New Jersey,40.0,-74.0,2017,August
Never Gonna Be Alone (feat Lizzy McAlpine & John Mayer),"['Jacob Collier', 'Lizzy McAlpine', 'John Mayer']",United Kingdom,51.5074,-0.1278,2021,May
Good Days,['SZA'],New Jersey,40.0,-74.0,2020,December
1539 N. Calvert,['JPEGMAFIA'],Maryland,39.2942,-76.6149,2018,November
BALD!,['JPEGMAFIA'],Maryland,38.0,-77.0,'2019','October'
Keep Your Eyes Open,['NEEDTOBREATHE'],South Carolina,34.0,81.0,2012,March
If You Want Love,['NF'],Michigan,42.0,-84.0,2017,January
where's the confetti?,['jev.'],California,34.0,-118.0,2021,June
Two Tens (feat. Anderson .Paak),"['Cordae', 'Anderson .Paak']",Maryland,38.978445,-76.492182,2021,July
GOATED. (feat. Denzel Curry),"['Armani White', 'Denzel Curry']",Pennsylvania,40.0,-77.0,2021,May
"Any Time, Any Place",['Janet Jackson'],Indiana,39.7684,-86.1581,1994,May
No Scrubs,['TLC'],Georgia,33.0,-84.0,1999,January
River,['Leon Bridges'],Texas,30.0,-97.0,2015,February
Dive - Recorded At Sound Stage Nashville,['Luke Combs'],Tennessee,36.0,-86.0,2018,September
Wasted On You,['Morgan Wallen'],Tennessee,36.0,-86.0,2021,January
Beer Never Broke My Heart,['Luke Combs'],North Carolina,35.0,79.0,2019,May
"Going, Going, Gone",['Luke Combs'],North Carolina,35.0,-80.0,2017,June
One Number Away,['Luke Combs'],North Carolina,0,0,N/A,N/A
Doin' This,['Luke Combs'],North Carolina,35.0,-80.0,2015,September
Beautiful Crazy,['Luke Combs'],North Carolina,35.0,-80.0,2018,March
Pussy & Millions (feat. Travis Scott),"['Drake', '21 Savage', 'Travis Scott']",Canada,43.0,-79.0,2018,June
LONDON (feat. J. Cole),"['BIA', 'J. Cole']",United States,37.0902,-95.7129,2021,June
Jimmy Cooks (feat. 21 Savage),"['Drake', '21 Savage']",Georgia,33.0,84.0,2021,August
How To Rob A Rapper (feat. Mozzy & D3szn),"['YG', 'Mozzy', 'D3szn']",California,36.0,-119.0,2021,November
Scared Money (feat. J. Cole and Moneybagg Yo),"['YG', 'J. Cole', 'Moneybagg Yo']",California,34.0,-118.0,2016,July
Still Fly,['Big Tymers'],Louisiana,30.0,-91.0,2000,June
Patty Cake,['Kodak Black'],Florida,27.0,81.0,2017,August
Codeine Dreaming (feat. Lil Wayne),"['Kodak Black', 'Lil Wayne']",Florida,30.0,84.0,2017,November
Show Me,['Joey Bada$$'],New York,40.0,-73.0,2012,August
Surround Sound (feat. 21 Savage & Baby Tate),"['JID', '21 Savage', 'Baby Tate']",Georgia,33.0,-83.0,2021,April
Hoes,"['Lil Wayne', 'Mannie Fresh']",Louisiana,31.0,-91.0,2003,March
Lean on Me,['Bill Withers'],West Virginia,38.0,81.0,1972,April
Birthday Sex,['Jeremih'],Illinois,41.0,-89.0,2009,March
Handsome,['Dave East'],New York,40.7128,-74.006,2016,April
Money Trees,"['Kendrick Lamar', 'Jay Rock']",California,34.0,118.0,2012,June
i n t e r l u d e,['J. Cole'],North Carolina,35.0,-80.0,'2021','May'
Z4L (with Bari & Jay2),"['Smino', 'Young Pink', 'Jay2']",Missouri,39.0,-92.0,2021,May
Mr. Right Now (feat. Drake),"['21 Savage', 'Metro Boomin', 'Drake']",Georgia,33.0,84.0,2020,October
Space Cadet (feat. Gunna),"['Metro Boomin', 'Gunna']",Georgia,33.0,84.0,2018,November
Money Mitch,['Lil Uzi Vert'],Pennsylvania,40.0,-77.0,2015,July
4 Da Kidz,['Kidz At Play'],California,37.0,122.0,2021,July
"Hapi (with Benji. & EARTHGANG feat. Mereba, Big Rube)","['Spillage Village', 'Benji.', 'EARTHGANG', 'Mereba', 'Big Rube']",Georgia,33.0,-83.0,2020,September
